K,Variance,PSNR
10,0.9926369294841023,31.747545130652576
15,0.9993988687511433,42.6284416811971
20,1.0,310.6115652101417
25,1.0,310.52501846502037
5,0.9173096028486526,23.905766901313783
10,0.9982625881264305,40.681289827468746
15,0.9999999999999999,311.3201039269318
20,0.9999999999999999,311.28219813543586
25,0.9999999999999999,311.24462033001413
5,0.9195751412924376,22.942959433198325
10,0.9930801084999815,33.59586964896413
15,0.9996644982353168,46.73991441087614
20,0.9999999999999999,308.04091421481604
25,0.9999999999999999,308.0084211518144
5,0.9667702713166851,25.28614954868236
10,0.9970542097835545,35.80939934741524
15,1.0000000000000002,300.0901747956699
20,1.0000000000000002,300.0835855953218
25,1.0000000000000002,300.0770063770934
5,0.8985557823541945,22.651148392442032
10,0.996039052509573,36.7354305131083
15,0.9999998899309914,82.29677082169013
20,0.9999999999999999,310.0890074938539
25,0.9999999999999999,310.06494258218925
5,0.9717752688808137,26.79510252434345
10,0.9985364262094935,39.6472544218299
15,0.9999999999999999,310.46951610951805
20,0.9999999999999999,310.3773877659303
25,0.9999999999999999,310.2871732435105
5,0.9635350760152316,24.537832462962005
10,0.9963235239039318,34.502268122653845
15,0.9999796752056286,57.07632398391287
20,0.9999999999999998,307.12656246599477
25,0.9999999999999998,307.0918074190064
5,0.968604661189381,27.08085629307551
10,0.9992464973382316,43.27866012713936
15,1.0000000000000002,314.5269437024549
20,1.0000000000000002,314.35971288599643
25,1.0000000000000002,314.2078982858026
5,0.9528953904406275,24.79954818228662
10,0.9985394262732273,39.88494742434647
15,1.0,307.0635577770454
20,1.0,307.03547979107543
25,1.0,307.0075821692999
5,0.9997646386719999,52.33577155841853
10,1.0000000000000002,321.3098355460571
15,1.0000000000000002,320.93833812772294
20,1.0000000000000002,320.59612980621284
25,1.0000000000000002,320.27892784022976
5,0.9336754745735187,23.26521967047579
10,0.9951503227219859,34.624832787764234
15,1.0000000000000002,313.6867397049882
20,1.0000000000000002,313.5669635172206
25,1.0000000000000002,313.45040222824395
5,0.9530903016980934,28.015129735441388
10,0.9999993921123923,76.88952323261917
15,1.0,315.36475747599
20,1.0,315.3000975553836
25,1.0,315.2348014837096
5,0.9538417076924075,26.52209729661028
10,0.9997275217882644,48.811276823872554
15,1.0000000000000002,312.0968710093843
20,1.0000000000000002,312.04237192357004
25,1.0000000000000002,311.9885482729485
5,0.946420046457721,25.870928503204095
10,0.9986832749105846,41.96600072160676
15,1.0,308.92184633438825
20,1.0,308.89366002126917
25,1.0,308.86714755193805
5,0.9470176892651524,24.458735914196843
10,0.9963761328191608,36.108322149482845
15,1.0,311.77327418563766
20,1.0,311.70349748981573
25,1.0,311.6348241694761
5,0.907311464025335,22.7872167227307
10,0.9976390353567383,38.726582114283886
15,1.0000000000000002,309.84875997574153
20,1.0000000000000002,309.8122124602039
25,1.0000000000000002,309.7759699408946
